,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry
RNST,Financials,Banks,Banks,Regional Banks
REGI,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
RCII,Consumer Discretionary,Retailing,Specialty Retail,Computer & Electronics Retail
RGEN,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
RSG,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
REZI,Industrials,Capital Goods,Building Products,Building Products
RMD,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
RGP,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services
ROIC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
RPAI,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
REX,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
REXR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Industrial REITs
RH,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
RLI,Financials,Insurance,Insurance,Property & Casualty Insurance
RHI,Industrials,Commercial & Professional Services,Professional Services,Human Resource & Employment Services
ROK,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
ROG,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Components
ROL,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
ROP,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
ROST,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
RCL,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Hotels Resorts & Cruise Lines
RGLD,Materials,Materials,Metals & Mining,Gold
RES,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
RPM,Materials,Materials,Chemicals,Specialty Chemicals
RPT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
RUTH,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
R,Industrials,Transportation,Road & Rail,Trucking
SPGI,Financials,Diversified Financials,Capital Markets,Financial Exchanges & Data
STBA,Financials,Banks,Banks,Regional Banks
SBRA,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
SABR,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
SAFE,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
SAFT,Financials,Insurance,Insurance,Property & Casualty Insurance
SAIA,Industrials,Transportation,Road & Rail,Trucking
SAIL,Information Technology,Software & Services,Software,Systems Software
CRM,Information Technology,Software & Services,Software,Application Software
SBH,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
SAFM,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
SANM,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Manufacturing Services
BFS,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
SBAC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
SCSC,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Technology Distributors
SLB,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
SCHL,Communication Services,Media & Entertainment,Media,Publishing
SWM,Materials,Materials,Paper & Forest Products,Paper Products
SAIC,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
SGMS,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Casinos & Gaming
SBCF,Financials,Banks,Banks,Regional Banks
CKH,Industrials,Transportation,Marine,Marine
STX,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
SEE,Materials,Materials,Containers & Packaging,Paper Packaging
SEIC,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
SEM,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
SIGI,Financials,Insurance,Insurance,Property & Casualty Insurance
SRE,Utilities,Utilities,Multi-Utilities,Multi-Utilities
SMTC,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
SENE.A,#N/A,#N/A,#N/A,#N/A
SXT,Materials,Materials,Chemicals,Specialty Chemicals
SCI,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
SVC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Hotel & Resort REITs
NOW,Information Technology,Software & Services,Software,Systems Software
SFBS,Financials,Banks,Banks,Regional Banks
SHAK,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
SHEN,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
SCVL,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
SSTK,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
SBNY,Financials,Banks,Banks,Regional Banks
SIG,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
SLGN,Materials,Materials,Containers & Packaging,Metal & Glass Containers
SLAB,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
SFNC,Financials,Banks,Banks,Regional Banks
SPG,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
SSD,Industrials,Capital Goods,Building Products,Building Products
SLP,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology
SITC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
SIX,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Leisure Facilities
SKX,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Footwear
SKYW,Industrials,Transportation,Airlines,Airlines
SWKS,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
SLG,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
SNBR,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
SLM,Financials,Diversified Financials,Consumer Finance,Consumer Finance
SM,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
SGH,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
SNA,Industrials,Capital Goods,Machinery,Industrial Machinery
SEDG,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
SAH,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
SON,Materials,Materials,Containers & Packaging,Paper Packaging
SJI,Utilities,Utilities,Gas Utilities,Gas Utilities
SBSI,Financials,Banks,Banks,Regional Banks
LUV,Industrials,Transportation,Airlines,Airlines
SWX,Utilities,Utilities,Gas Utilities,Gas Utilities
SWN,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
SPTN,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Distributors
SPPI,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
SR,Utilities,Utilities,Gas Utilities,Gas Utilities
SRC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
SPOK,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
SFM,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Retail
SPSC,Information Technology,Software & Services,Software,Application Software
SPXC,Industrials,Capital Goods,Machinery,Industrial Machinery
FLOW,Industrials,Capital Goods,Machinery,Industrial Machinery
STMP,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
SMP,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
SXI,Industrials,Capital Goods,Machinery,Industrial Machinery
SWK,Industrials,Capital Goods,Machinery,Industrial Machinery
SBUX,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
STT,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
STLD,Materials,Materials,Metals & Mining,Steel
SCL,Materials,Materials,Chemicals,Specialty Chemicals
SRCL,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
STE,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
STL,Financials,Banks,Banks,Regional Banks
SHOO,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Footwear
STC,Financials,Insurance,Insurance,Property & Casualty Insurance
SF,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
SNEX,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
STOR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
STRA,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
SYK,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
RGR,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
INN,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Hotel & Resort REITs
SXC,Materials,Materials,Metals & Mining,Steel
RUN,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
SUPN,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
SRDX,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
SIVB,Financials,Banks,Banks,Regional Banks
SYKE,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
SYNA,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
SYF,Financials,Diversified Financials,Consumer Finance,Consumer Finance
SYNH,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
SNX,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Technology Distributors
SNPS,Information Technology,Software & Services,Software,Application Software
SNV,Financials,Banks,Banks,Regional Banks
SYY,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Distributors
TROW,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
TRHC,Health Care,Health Care Equipment & Services,Health Care Technology,Health Care Technology
TCMD,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
TTWO,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
TALO,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Exploration & Production
SKT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
TPR,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
TGT,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
TCO,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
TMHC,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
TCF,Financials,Banks,Banks,Regional Banks
TEL,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Manufacturing Services
TISI,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
FTI,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
TTGT,Communication Services,Media & Entertainment,Media,Advertising
TGNA,Communication Services,Media & Entertainment,Media,Broadcasting
TDY,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
TFX,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
TDS,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
TPX,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings
THC,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
TNC,Industrials,Capital Goods,Machinery,Industrial Machinery
TDC,Information Technology,Software & Services,Software,Systems Software
TER,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
TEX,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
TTEK,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
TCBI,Financials,Banks,Banks,Regional Banks
TXN,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
TXRH,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
TXT,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AAN,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
AES,Utilities,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders
ALL,Financials,Insurance,Insurance,Property & Casualty Insurance
ANDE,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Distributors
BK,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
BA,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
SAM,Consumer Staples,Food Beverage & Tobacco,Beverages,Brewers
BCO,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Security & Alarm Services
BKE,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
CATO,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
SCHW,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
CAKE,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
CHEF,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Distributors
CC,Materials,Materials,Chemicals,Diversified Chemicals
PLCE,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
CLX,Consumer Staples,Household & Personal Products,Household Products,Household Products
KO,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks
COO,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
SSP,Communication Services,Media & Entertainment,Media,Broadcasting
ENSG,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
EL,Consumer Staples,Household & Personal Products,Personal Products,Personal Products
GPS,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
GEO,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
GS,Financials,Diversified Financials,Capital Markets,Investment Banking & Brokerage
GT,Consumer Discretionary,Automobiles & Components,Auto Components,Tires & Rubber
GBX,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
HAIN,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
THG,Financials,Insurance,Insurance,Property & Casualty Insurance
HIG,Financials,Insurance,Insurance,Multi-line Insurance
HSY,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
HD,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail
IPG,Communication Services,Media & Entertainment,Media,Advertising
SJM,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
KHC,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
KR,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Retail
MAC,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
MCS,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
MIK,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
MIDD,Industrials,Capital Goods,Machinery,Industrial Machinery
MOS,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals
NYT,Communication Services,Media & Entertainment,Media,Publishing
ODP,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
PNTG,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
PNC,Financials,Banks,Banks,Regional Banks
PG,Consumer Staples,Household & Personal Products,Household Products,Household Products
PGR,Financials,Insurance,Insurance,Property & Casualty Insurance
PRSC,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
SMG,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals
SHW,Materials,Materials,Chemicals,Specialty Chemicals
SO,Utilities,Utilities,Electric Utilities,Electric Utilities
JOE,Real Estate,Real Estate,Real Estate Management & Development,Diversified Real Estate Activities
TKR,Industrials,Capital Goods,Machinery,Industrial Machinery
TJX,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
TTC,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery
TRV,Financials,Insurance,Insurance,Property & Casualty Insurance
DIS,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
WEN,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
WU,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
WMB,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Storage & Transportation
TMO,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
TPRE,Financials,Insurance,Insurance,Reinsurance
THO,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
TIF,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
TMST,Materials,Materials,Metals & Mining,Steel
TWI,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery
TVTY,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Services
TMUS,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
TOL,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
TMP,Financials,Banks,Banks,Regional Banks
TR,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
BLD,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
TSCO,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
TT,Industrials,Capital Goods,Building Products,Building Products
TDG,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
TG,Materials,Materials,Chemicals,Commodity Chemicals
THS,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
TREX,Industrials,Capital Goods,Building Products,Building Products
TPH,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
TRMB,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
TRN,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
TSE,Materials,Materials,Chemicals,Commodity Chemicals
TRIP,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
TBK,Financials,Banks,Banks,Regional Banks
TGI,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
TBI,Industrials,Commercial & Professional Services,Professional Services,Human Resource & Employment Services
TFC,Financials,Banks,Banks,Regional Banks
TRUP,Financials,Insurance,Insurance,Life & Health Insurance
TRST,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
TRMK,Financials,Banks,Banks,Regional Banks
TTEC,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
TTMI,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Manufacturing Services
TUP,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Housewares & Specialties
TWTR,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
TYL,Information Technology,Software & Services,Software,Application Software
TSN,Consumer Staples,Food Beverage & Tobacco,Food Products,Packaged Foods & Meats
USB,Financials,Banks,Banks,Diversified Banks
USCR,Materials,Materials,Construction Materials,Construction Materials
USPH,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
SLCA,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
UDR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
UFPI,Industrials,Capital Goods,Building Products,Building Products
UGI,Utilities,Utilities,Gas Utilities,Gas Utilities
ULTA,Consumer Discretionary,Retailing,Specialty Retail,Specialty Stores
UCTT,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
UMBF,Financials,Banks,Banks,Regional Banks
UMPQ,Financials,Banks,Banks,Regional Banks
UA,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
UAA,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
UFI,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Textiles
UNF,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Diversified Support Services
UNP,Industrials,Transportation,Road & Rail,Railroads
UIS,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
UAL,Industrials,Transportation,Airlines,Airlines
UBSI,Financials,Banks,Banks,Regional Banks
UCBI,Financials,Banks,Banks,Regional Banks
UFCS,Financials,Insurance,Insurance,Property & Casualty Insurance
UIHC,Financials,Insurance,Insurance,Property & Casualty Insurance
UNFI,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Food Distributors
UPS,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
URI,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
X,Materials,Materials,Metals & Mining,Steel
UTHR,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
UNH,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
UNIT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
UNVR,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
UVV,Consumer Staples,Food Beverage & Tobacco,Tobacco,Tobacco
OLED,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
UEIC,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics
UHT,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
UHS,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
UVE,Financials,Insurance,Insurance,Property & Casualty Insurance
UNM,Financials,Insurance,Insurance,Life & Health Insurance
UE,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
URBN,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
UBA,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
ECOL,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
USNA,Consumer Staples,Household & Personal Products,Personal Products,Personal Products
VFC,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
VLO,Energy,Energy,Oil Gas & Consumable Fuels,Oil & Gas Refining & Marketing
VLY,Financials,Banks,Banks,Regional Banks
VMI,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
VVV,Materials,Materials,Chemicals,Commodity Chemicals
VNDA,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
VREX,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
VAR,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
VGR,Consumer Staples,Food Beverage & Tobacco,Tobacco,Tobacco
VECO,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
VTR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
VRA,Consumer Discretionary,Consumer Durables & Apparel,Textiles Apparel & Luxury Goods,Apparel Accessories & Luxury Goods
VRSN,Information Technology,Software & Services,IT Services,Internet Services & Infrastructure
VRSK,Industrials,Commercial & Professional Services,Professional Services,Research & Consulting Services
VBTX,Financials,Banks,Banks,Regional Banks
VRTV,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
VZ,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
VRTX,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Biotechnology,Biotechnology
VIAC,Communication Services,Media & Entertainment,Media,Broadcasting
VVI,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Diversified Support Services
VSAT,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
VTRS,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Pharmaceuticals,Pharmaceuticals
VIAV,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
VICR,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
VRTS,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
VRTU,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
V,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
VSH,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Components
VSTO,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
VC,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
VG,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers
VNT,Information Technology,Technology Hardware & Equipment,Electronic Equipment Instruments & Components,Electronic Equipment & Instruments
VNO,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
VMC,Materials,Materials,Construction Materials,Construction Materials
WRB,Financials,Insurance,Insurance,Property & Casualty Insurance
GWW,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
WNC,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
WAB,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks
WDR,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
WBA,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Drug Retail
WD,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
WMT,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Hypermarkets & Super Centers
HCC,Materials,Materials,Metals & Mining,Steel
WAFD,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
WRE,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
WM,Industrials,Commercial & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
WAT,Health Care,Pharmaceuticals Biotechnology & Life Sciences,Life Sciences Tools & Services,Life Sciences Tools & Services
WSO,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
WTS,Industrials,Capital Goods,Machinery,Industrial Machinery
WDFC,Consumer Staples,Household & Personal Products,Household Products,Household Products
WBS,Financials,Banks,Banks,Regional Banks
WEC,Utilities,Utilities,Multi-Utilities,Multi-Utilities
WRI,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
WFC,Financials,Banks,Banks,Diversified Banks
WELL,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
WERN,Industrials,Transportation,Road & Rail,Trucking
WST,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
WABC,Financials,Banks,Banks,Regional Banks
WDC,Information Technology,Technology Hardware & Equipment,Technology Hardware Storage & Peripherals,Technology Hardware Storage & Peripherals
WRK,Materials,Materials,Containers & Packaging,Paper Packaging
WEX,Information Technology,Software & Services,IT Services,Data Processing & Outsourced Services
WY,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
WHR,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances
WSR,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
WSM,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
WLTW,Financials,Insurance,Insurance,Insurance Brokers
WING,Consumer Discretionary,Consumer Services,Hotels Restaurants & Leisure,Restaurants
WGO,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
WTFC,Financials,Banks,Banks,Regional Banks
WETF,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks
